id,sentiment
615,3
616,2
617,3
618,3
619,3
620,3
621,2
622,2
623,3
624,3
625,2
626,3
627,3
628,2
629,3
630,3
631,2
632,3
633,2
634,2
635,3
636,2
637,3
638,3
639,3
640,3
641,2
642,2
643,2
644,2
645,2
646,3
647,2
648,3
649,2
650,3
651,3
652,3
653,3
654,3
655,2
656,3
657,3
658,2
659,3
660,2
661,2
662,3
663,3
664,3
665,3
666,3
667,2
668,3
669,3
670,3
671,2
672,2
673,2
674,2
675,3
676,2
677,2
678,2
679,3
680,2
681,3
682,3
683,3
684,3
685,2
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,2
694,3
695,3
696,3
697,3
698,3
699,2
700,3
701,3
702,2
703,2
704,2
705,3
706,3
707,3
708,3
709,3
710,3
711,2
712,2
713,3
714,3
715,2
716,2
717,3
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,3
727,3
728,3
729,3
730,2
731,3
732,3
733,3
734,3
735,2
736,3
737,3
738,3
739,3
740,2
741,3
742,3
743,3
744,2
745,3
746,3
747,3
748,3
749,2
750,3
751,2
752,2
753,3
754,3
755,3
756,2
757,2
758,3
759,2
760,3
761,3
762,2
763,2
764,2
765,3
766,3
767,2
768,3
769,2
770,3
771,3
772,3
773,3
774,3
775,3
776,3
777,3
778,3
779,3
780,2
781,3
782,3
783,2
784,3
785,3
786,3
787,3
788,3
789,2
790,3
791,1
792,2
793,2
794,3
795,3
796,4
797,3
798,3
799,3
800,2
801,2
802,3
803,2
804,3
805,2
806,3
807,3
808,3
809,2
810,2
811,3
812,2
813,3
814,3
815,2
816,3
817,2
818,3
819,3
820,3
821,3
822,3
823,3
824,2
825,3
826,2
827,2
828,2
829,3
830,3
831,3
832,2
833,3
834,2
835,3
836,2
837,2
838,3
839,3
840,2
841,2
842,2
843,2
844,3
845,2
846,2
847,3
848,2
849,2
850,2
851,2
852,3
853,2
854,2
855,3
856,3
857,3
858,3
859,3
860,3
861,3
862,2
863,3
864,2
865,2
866,2
867,2
868,3
869,3
870,2
871,2
872,2
873,3
874,2
875,3
876,2
877,3
878,3
879,3
880,3
881,3
882,3
883,3
884,2
885,3
886,2
887,2
888,2
889,2
890,3
891,2
892,3
893,3
894,3
895,3
896,3
897,3
898,3
899,3
900,3
901,3
902,3
903,3
904,2
905,2
906,3
907,3
908,3
909,2
910,3
911,2
912,2
913,3
914,2
915,3
916,3
917,3
918,3
919,3
920,3
921,1
922,2
923,2
924,3
925,3
926,3
927,3
928,3
929,2
930,3
931,3
932,2
933,2
934,3
935,2
936,3
937,2
938,2
939,2
940,2
941,2
942,3
943,2
944,3
945,3
946,3
947,2
948,2
949,3
950,2
951,2
952,4
953,2
954,2
955,2
956,2
957,3
958,3
959,2
960,2
961,2
962,3
963,3
964,2
965,2
966,3
967,3
968,2
969,3
970,2
971,3
972,4
973,2
974,2
975,2
976,3
977,3
978,3
979,2
